name,category,serving_size_g,calories,sodium_mg,sugar_g,carbs_g,protein_g,fat_g,sample_count,source_dataset,method,serving_basis
감자구이,구이류,108.0,76.0,97.0,1.1,10.05,1.23,3.48,4,음식,산출,산업체 급식
감자국,국 및 탕류,400.0,21.0,215.0,0.85,3.67,0.9,0.26,8,음식,분석,가정식 분석
감자그라탕,구이류,101.3,160.0,193.0,2.66,,7.97,,5,음식,수집,외식 레시피
감자밥,밥류,261.5,130.0,2.0,0.01,28.45,2.4,0.14,1,음식,산출,산업체 급식
감자범벅,"곡류, 서류 제품",112.3,93.0,597.0,3.72,21.31,2.3,0.05,3,음식,산출,산업체 급식
감자볶음,볶음류,130.0,108.0,208.0,0.12,13.1,2.04,5.22,31,음식,분석,가정식 분석
감자빵,빵 및 과자류,70.0,242.0,295.0,3.42,38.08,2.5,8.58,10,음식,수집,표시기준 1회 섭취참고량
감자샐러드,생채·무침류,100.7,161.0,308.0,3.11,15.59,2.7,9.97,6,음식,산출,산업체 급식
감자샐러드 샌드위치,빵 및 과자류,380.0,109.0,216.0,2.27,13.59,3.0,4.8,3,음식,산출,산업체 급식
감자스프,죽 및 스프류,200.0,86.0,20.0,2.33,8.13,2.9,4.45,3,음식,산출,산업체 급식
감자연근튀김,튀김류,155.9,149.0,405.0,0.38,22.74,3.8,4.31,1,음식,산출,산업체 급식
감자전,전·적 및 부침류,200.0,133.0,293.0,1.81,16.79,1.72,6.54,5,음식,분석,가정식 분석
감자조림,조림류,50.0,114.0,487.0,7.68,18.1,2.4,3.52,5,음식,분석,가정식 분석
감자탕,찌개 및 전골류,530.0,71.0,328.0,0.0,2.27,6.31,4.06,5,음식,분석,가정식 분석
감자튀김,튀김류,150.0,307.0,299.0,0.32,41.35,4.5,13.75,26,음식,분석,가정식 분석
감펭류,어패류 및 기타 수산물,,108.0,,0.17,0.17,16.73,3.9,5,원재료성식품,분석,
갑오징어류,어패류 및 기타 수산물,,79.0,,0.23,0.23,16.87,0.7,6,원재료성식품,분석,
갑오징어무침,생채·무침류,,50.0,225.0,3.06,5.89,5.31,0.74,1,음식,산출,
갓,채소류,,36.0,33.0,,7.3,3.5,0.2,4,원재료성식품,분석,
갓김치,김치류,40.0,37.0,720.0,2.46,7.07,3.26,0.4,1,음식,분석,표시기준 1회 섭취참고량
강낭콩,두류,,170.0,3.0,0.0,31.9,8.46,0.9,4,원재료성식품,분석,
강낭콩밥,밥류,300.0,111.0,2.0,0.01,24.21,2.2,0.15,4,음식,산출,산업체 급식
강냉이/팝콘,과자류·빵류 또는 떡류,20.0,428.0,122.0,5.65,72.22,7.86,12.01,1167,가공식품,수집,표시기준 1회 섭취참고량
강달이류,어패류 및 기타 수산물,,102.0,,0.0,0.0,14.0,5.1,4,원재료성식품,분석,
강준치,어패류 및 기타 수산물,,90.0,,0.2,0.2,18.7,1.1,1,원재료성식품,분석,
강화우유,유가공품류,206.0,64.1,48.5,4.85,4.85,2.78,3.68,67,가공식품,수집,표시기준 1회 섭취참고량
개고기 수육,찜류,200.0,226.0,54.0,0.1,3.1,15.8,17.15,1,음식,산출,외식 레시피
개고기무침,생채·무침류,620.0,121.0,111.0,0.9,3.76,7.63,8.82,1,음식,산출,외식 레시피
개고기전골,찌개 및 전골류,630.0,74.0,109.0,0.53,2.35,5.56,5.03,1,음식,산출,외식 레시피
개량조개,어패류 및 기타 수산물,,62.0,,1.1,1.1,12.0,0.7,2,원재료성식품,분석,
개불류,어패류 및 기타 수산물,,53.0,,1.6,1.6,10.5,0.2,1,원재료성식품,분석,
개암(헤이즐넛),견과 및 종실류,,628.0,0.0,4.34,16.7,14.95,60.75,2,원재료성식품,수집,
개조개,어패류 및 기타 수산물,,64.0,,3.04,3.04,10.9,0.6,2,원재료성식품,분석,
